station_name,date,hour,temperature,wind_direction,wind_km/h,precipitation_mm
BERNARDO_DE_IRIGOYEN_AERO,02/ENE/2022,21Hs,23.9,58,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,00Hs,21.1,30,4,0.0
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,03Hs,17.4,157,6,1.4
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,06Hs,17.6,58,3,0.4
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,09Hs,23.0,46,5,0.0
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,12Hs,28.5,336,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,15Hs,26.4,242,12,0.0
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,18Hs,19.5,198,10,1.6
BERNARDO_DE_IRIGOYEN_AERO,03/ENE/2022,21Hs,18.6,116,7,0.0
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,00Hs,18.5,89,10,0.0
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,03Hs,18.9,66,11,0.0
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,06Hs,18.9,50,11,0.1
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,09Hs,18.6,79,6,2.4
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,12Hs,19.8,276,6,4.0
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,15Hs,21.8,204,6,0.9
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,18Hs,24.4,63,15,0.5
BERNARDO_DE_IRIGOYEN_AERO,04/ENE/2022,21Hs,17.9,66,6,2.0
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,00Hs,16.5,71,5,0.0
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,03Hs,16.3,94,4,0.0
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,06Hs,17.1,39,3,0.0
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,09Hs,22.4,324,9,0.0
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,12Hs,24.9,251,9,1.8
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,15Hs,29.5,189,11,0.5
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,18Hs,23.7,175,10,1.6
BERNARDO_DE_IRIGOYEN_AERO,05/ENE/2022,21Hs,20.1,141,11,0.4
BOLIVAR_AERO,01/ENE/2022,00Hs,21.3,329,6,0.0
BOLIVAR_AERO,01/ENE/2022,03Hs,18.0,280,8,0.0
BOLIVAR_AERO,01/ENE/2022,06Hs,15.1,285,14,0.2
BOLIVAR_AERO,01/ENE/2022,09Hs,24.7,241,17,0.0
BOLIVAR_AERO,01/ENE/2022,12Hs,31.7,295,16,0.1
BOLIVAR_AERO,01/ENE/2022,15Hs,33.0,337,24,0.2
BOLIVAR_AERO,01/ENE/2022,18Hs,34.5,308,17,0.0
BOLIVAR_AERO,01/ENE/2022,21Hs,25.9,191,13,0.0
BOLIVAR_AERO,02/ENE/2022,00Hs,20.9,139,6,0.0
BOLIVAR_AERO,02/ENE/2022,03Hs,19.3,134,10,0.0
BOLIVAR_AERO,02/ENE/2022,06Hs,19.1,211,13,0.0
BOLIVAR_AERO,02/ENE/2022,09Hs,28.6,188,14,0.0
BOLIVAR_AERO,02/ENE/2022,12Hs,34.5,131,10,0.0
BOLIVAR_AERO,02/ENE/2022,15Hs,37.8,267,7,0.0
BOLIVAR_AERO,02/ENE/2022,18Hs,36.8,212,30,0.0
BOLIVAR_AERO,02/ENE/2022,21Hs,25.6,115,24,0.0
BOLIVAR_AERO,03/ENE/2022,00Hs,21.2,102,19,0.0
BOLIVAR_AERO,03/ENE/2022,03Hs,17.1,37,11,0.0
BOLIVAR_AERO,03/ENE/2022,06Hs,15.2,357,9,0.0
BOLIVAR_AERO,03/ENE/2022,09Hs,25.5,280,15,0.0
BOLIVAR_AERO,03/ENE/2022,12Hs,32.6,247,15,0.0
BOLIVAR_AERO,03/ENE/2022,15Hs,36.1,270,13,0.0
BOLIVAR_AERO,03/ENE/2022,18Hs,37.0,302,13,0.0
BOLIVAR_AERO,03/ENE/2022,21Hs,28.3,185,10,0.0
BOLIVAR_AERO,04/ENE/2022,00Hs,25.6,303,27,0.0
BOLIVAR_AERO,04/ENE/2022,03Hs,20.4,247,13,0.0
BOLIVAR_AERO,04/ENE/2022,06Hs,20.0,231,9,0.0
BOLIVAR_AERO,04/ENE/2022,09Hs,26.8,208,24,0.0
BOLIVAR_AERO,04/ENE/2022,12Hs,32.1,220,26,0.0
BOLIVAR_AERO,04/ENE/2022,15Hs,34.3,227,29,0.0
BOLIVAR_AERO,04/ENE/2022,18Hs,32.8,215,30,0.0
BOLIVAR_AERO,04/ENE/2022,21Hs,22.2,141,26,0.0
BOLIVAR_AERO,05/ENE/2022,00Hs,16.1,114,20,0.0
BOLIVAR_AERO,05/ENE/2022,03Hs,11.3,102,11,0.0
BOLIVAR_AERO,05/ENE/2022,06Hs,9.2,100,7,0.0
BOLIVAR_AERO,05/ENE/2022,09Hs,18.5,103,13,0.0
BOLIVAR_AERO,05/ENE/2022,12Hs,26.2,125,13,0.0
BOLIVAR_AERO,05/ENE/2022,15Hs,30.9,121,14,0.0
BOLIVAR_AERO,05/ENE/2022,18Hs,31.3,104,15,0.0
BOLIVAR_AERO,05/ENE/2022,21Hs,22.6,77,15,0.0
BUENOS_AIRES,01/ENE/2022,00Hs,24.7,56,24,0.0
BUENOS_AIRES,01/ENE/2022,03Hs,24.4,44,21,0.0
BUENOS_AIRES,01/ENE/2022,06Hs,23.2,360,17,0.0
BUENOS_AIRES,01/ENE/2022,09Hs,28.5,351,12,0.0
BUENOS_AIRES,01/ENE/2022,12Hs,33.3,317,16,0.0
BUENOS_AIRES,01/ENE/2022,15Hs,35.8,316,25,0.0
BUENOS_AIRES,01/ENE/2022,18Hs,35.0,299,19,0.0
BUENOS_AIRES,01/ENE/2022,21Hs,27.4,344,9,0.0
BUENOS_AIRES,02/ENE/2022,00Hs,23.7,321,10,0.0
BUENOS_AIRES,02/ENE/2022,03Hs,18.9,330,13,0.8
BUENOS_AIRES,02/ENE/2022,06Hs,20.1,334,10,0.2
BUENOS_AIRES,02/ENE/2022,09Hs,26.9,32,10,0.0
BUENOS_AIRES,02/ENE/2022,12Hs,35.4,3,16,0.0
BUENOS_AIRES,02/ENE/2022,15Hs,37.3,338,27,0.0
BUENOS_AIRES,02/ENE/2022,18Hs,25.4,140,32,0.4
